trade_id,symbol,entry_time,entry_price,stop_loss_price,exit_price,exit_time,pnl_amount,pnl_pct,quantity
256,SMCL,2025-05-06 10:35,9.3154,9.2395,9.2395,2025-05-06 10:36,-692.76,-0.84%,8893
257,LOAR,2025-05-06 10:36,96.9999,96.6975,96.6975,2025-05-06 10:37,-603.93,-0.31%,1984
244,NBIS,2025-05-06 10:24,24.53,24.4078,24.7418,2025-05-06 10:40,514.93,0.86%,2454
255,ULS,2025-05-06 10:33,63.88,63.6545,63.7373,2025-05-06 10:40,-240.46,-0.23%,1662
260,CRDO,2025-05-06 10:38,47.06,46.9554,46.96,2025-05-06 10:41,-585.07,-0.22%,5736
261,VITL,2025-05-06 10:40,35.7,35.5322,35.5322,2025-05-06 10:41,-682.94,-0.48%,4022
250,STRA,2025-05-06 10:30,87.64,87.1595,87.62,2025-05-06 10:42,-6.86,-0.03%,312
264,PTIR,2025-05-06 10:42,194.74,193.9002,193.9002,2025-05-06 10:43,-149.84,-0.43%,178
259,TDW,2025-05-06 10:37,42.1148,41.957,42.0383,2025-05-06 10:44,-223.91,-0.19%,2851
263,SN,2025-05-06 10:41,81.1,80.8576,81.15,2025-05-06 10:45,133.63,0.06%,2784
266,KNF,2025-05-06 10:44,95.67,94.86,95.115,2025-05-06 10:48,-309.14,-0.58%,555
268,KRYS,2025-05-06 10:46,143.01,142.3141,142.3279,2025-05-06 10:48,-884.52,-0.48%,1293
241,SPNS,2025-05-06 10:22,29.31,28.7711,29.416,2025-05-06 10:48,101.3,0.35%,974
269,TDUP,2025-05-06 10:47,5.945,5.9143,5.9143,2025-05-06 10:48,-159.74,-0.55%,4885
267,ARMK,2025-05-06 10:45,37.07,36.9337,36.985,2025-05-06 10:49,-526.52,-0.23%,6052
270,UPWK,2025-05-06 10:48,16,15.9636,15.9636,2025-05-06 10:49,-632.95,-0.24%,16483
265,BLMZ,2025-05-06 10:43,0.3343,0.3115,0.3151,2025-05-06 10:50,-279.28,-6.35%,13157
262,PLTU,2025-05-06 10:41,41.06,40.6549,41.072,2025-05-06 10:50,12.98,0.02%,1295
